144457	8	1716107635.413469
251185	14	1716107636.413469
411413	23	1716107637.413469
304549	17	1716107638.413469
340125	19	1716107639.413469
322337	18	1716107640.413469
393490	22	1716107641.413469
286763	16	1716107642.413469
429067	24	1716107643.413469
500353	28	1716107644.49425
535795	30	1716107645.896731
357915	20	1716107647.063915
464643	26	1716107648.298461
375703	21	1716107649.446507
411278	23	1716107650.539521
357914	20	1716107651.539521
429203	24	1716107652.963033
446855	25	1716107654.124654
464641	26	1716107655.32829
304551	17	1716107656.468833
696022	39	1716107658.339021
749250	42	1716107660.072125
802751	45	1716107662.602868
678101	38	1716107664.653544
624871	35	1716107666.755999
571507	32	1716107668.38271
784827	44	1716107670.236352
482567	27	1716107671.883862
357915	20	1716107673.047872
375838	21	1716107674.047872
1105147	62	1716107676.431422
446856	25	1716107678.75649
589159	33	1716107680.093159
482567	27	1716107681.712233
446855	25	1716107682.712233
304687	17	1716107683.865016
393490	22	1716107684.973458
358051	20	1716107685.999385
73443	4	1716107687.123324
