20077	1	1715828511.95145
20077	1	1715828512.95145
37865	2	1715828513.95145
20077	1	1715828514.95145
20077	1	1715828515.95145
20077	1	1715828516.95145
37866	2	1715828517.95145
20079	1	1715828518.95145
37867	2	1715828519.95145
20079	1	1715828520.95145
20079	1	1715828521.95145
20079	1	1715828522.95145
37867	2	1715828523.95145
20079	1	1715828524.95145
37867	2	1715828525.95145
20079	1	1715828526.95145
20079	1	1715828527.95145
20079	1	1715828528.95145
37867	2	1715828529.95145
20079	1	1715828530.95145
20079	1	1715828531.95145
37867	2	1715828532.95145
20079	1	1715828533.95145
20079	1	1715828534.95145
20079	1	1715828535.95145
37867	2	1715828536.95145
20079	1	1715828537.95145
20079	1	1715828538.95145
37867	2	1715828539.95145
20079	1	1715828540.95145
20079	1	1715828541.95145
20079	1	1715828542.95145
37867	2	1715828543.95145
37867	2	1715828544.95145
20079	1	1715828545.95145
20079	1	1715828546.95145
20079	1	1715828547.95145
37867	2	1715828548.95145
20079	1	1715828549.95145
37867	2	1715828550.95145
20079	1	1715828551.95145
20079	1	1715828552.95145
37867	2	1715828553.95145
20079	1	1715828554.95145
20079	1	1715828555.95145
37867	2	1715828556.95145
20079	1	1715828557.95145
20079	1	1715828558.95145
37867	2	1715828559.95145
20079	1	1715828560.95145
20079	1	1715828561.95145
37867	2	1715828562.95145
20079	1	1715828563.95145
20079	1	1715828564.95145
37867	2	1715828565.95145
20079	1	1715828566.95145
20079	1	1715828567.95145
37867	2	1715828568.95145
20079	1	1715828569.95145
20079	1	1715828570.95145
20079	1	1715828571.95145
37867	2	1715828572.95145
20079	1	1715828573.95145
20079	1	1715828574.95145
37867	2	1715828575.95145
20079	1	1715828576.95145
20079	1	1715828577.95145
37867	2	1715828578.95145
20079	1	1715828579.95145
20079	1	1715828580.95145
20079	1	1715828581.95145
37867	2	1715828582.95145
20079	1	1715828583.95145
20079	1	1715828584.95145
37867	2	1715828585.95145
