14805	7	1716036439.508608
32549	17	1716036440.508608
37913	20	1716036441.508608
39701	21	1716036442.508608
45065	24	1716036443.553322
48641	26	1716036444.813293
62946	34	1716036446.285027
55930	30	1716036448.114391
68309	37	1716036449.89441
66659	36	1716036451.844402
77251	42	1716036453.75561
61295	33	1716036455.589334
66523	36	1716036457.47572
59371	32	1716036459.146963
68447	37	1716036460.872918
66523	36	1716036462.523339
59371	32	1716036464.508724
62947	34	1716036466.188407
68311	37	1716036467.88907
61159	33	1716036469.620828
66523	36	1716036471.565303
70235	38	1716036473.510798
73811	40	1716036475.387903
70099	38	1716036477.433492
73674	40	1716036479.584597
59371	32	1716036481.226071
80827	44	1716036483.145347
61295	33	1716036485.022563
72023	39	1716036487.071458
70234	38	1716036488.801685
30763	16	1716036490.910414
